"date","last","opening","max","min","Vol.","Var%"
"01.10.2019","27,51","27,60","27,73","27,36","32,22M","-0,15%"
"30.09.2019","27,55","27,56","27,64","27,40","22,98M","-0,40%"
"27.09.2019","27,66","27,55","27,95","27,52","31,82M","-0,14%"
"26.09.2019","27,70","27,40","27,70","27,23","33,47M","1,32%"
"25.09.2019","27,34","27,03","27,35","26,78","28,96M","0,26%"
"24.09.2019","27,27","27,42","27,54","27,15","36,53M","-0,76%"
"23.09.2019","27,48","27,00","27,49","26,92","32,51M","1,78%"
"20.09.2019","27,00","27,35","27,43","27,00","51,58M","-1,06%"
"19.09.2019","27,29","27,83","27,85","27,22","41,98M","0,26%"
"18.09.2019","27,22","27,37","27,49","27,22","40,14M","-1,70%"
"17.09.2019","27,69","27,66","27,75","27,16","67,14M","-1,32%"
"16.09.2019","28,06","28,12","28,24","27,69","166,97M","4,39%"
"13.09.2019","26,88","27,12","27,20","26,82","24,53M","-0,67%"
"12.09.2019","27,06","26,86","27,14","26,64","40,66M","0,71%"
"11.09.2019","26,87","27,35","27,35","26,83","51,21M","-0,85%"
"10.09.2019","27,10","27,05","27,35","26,78","43,96M","0,63%"
"09.09.2019","26,93","26,75","27,02","26,70","37,12M","1,55%"
"06.09.2019","26,52","26,40","26,86","26,20","48,34M","0,49%"
"05.09.2019","26,39","26,60","26,79","26,34","48,38M","0,50%"
"04.09.2019","26,26","26,16","26,37","26,00","56,00M","2,58%"
"03.09.2019","25,60","25,11","25,66","25,03","47,62M","1,19%"
"02.09.2019","25,30","25,39","25,58","25,25","18,95M","-0,78%"
"30.08.2019","25,50","25,53","25,69","25,17","54,53M","0,00%"
"29.08.2019","25,50","24,90","25,50","24,68","60,65M","3,70%"
"28.08.2019","24,59","24,20","24,70","24,12","41,69M","1,03%"
"27.08.2019","24,34","24,17","24,82","23,81","70,23M","1,59%"
"26.08.2019","23,96","24,58","24,68","23,77","38,19M","-1,32%"
"23.08.2019","24,28","24,78","25,37","24,23","57,80M","-3,73%"
"22.08.2019","25,22","25,50","25,72","25,16","40,52M","-0,90%"
"21.08.2019","25,45","24,35","25,99","24,18","87,26M","5,95%"
"20.08.2019","24,02","23,91","24,19","23,68","36,65M","-0,04%"
"19.08.2019","24,03","24,30","24,50","23,85","50,50M","0,50%"
"16.08.2019","23,91","24,72","24,77","23,89","55,86M","-1,32%"
"15.08.2019","24,23","24,99","25,00","24,14","53,31M","-2,77%"
"14.08.2019","24,92","25,26","25,38","24,78","53,99M","-3,37%"
"13.08.2019","25,79","25,36","26,13","25,23","45,14M","1,34%"
"12.08.2019","25,45","25,72","25,72","25,34","35,74M","-2,42%"
"09.08.2019","26,08","26,09","26,48","25,90","36,41M","-0,23%"
"08.08.2019","26,14","25,90","26,14","25,66","50,06M","2,91%"
"07.08.2019","25,40","25,24","25,53","24,81","67,44M","-1,09%"
"06.08.2019","25,68","25,70","26,02","25,48","43,89M","1,30%"
"05.08.2019","25,35","25,60","25,93","25,32","47,73M","-3,65%"
"02.08.2019","26,31","26,16","26,68","26,08","63,72M","2,77%"
"01.08.2019","25,60","26,30","26,56","25,16","91,21M","-1,84%"
"31.07.2019","26,08","26,39","26,50","26,02","39,67M","-0,61%"
"30.07.2019","26,24","26,35","26,49","26,18","38,01M","-0,53%"
"29.07.2019","26,38","26,22","26,44","25,96","26,28M","0,92%"
"26.07.2019","26,14","26,80","26,80","26,10","75,14M","-2,79%"
"25.07.2019","26,89","27,47","27,50","26,81","26,71M","-1,68%"
"24.07.2019","27,35","27,59","27,64","27,30","27,81M","-0,62%"
"23.07.2019","27,52","27,51","27,63","27,40","21,04M","0,11%"
"22.07.2019","27,49","27,62","27,75","27,36","22,10M","0,18%"
"19.07.2019","27,44","27,50","27,60","27,37","28,18M","-0,25%"
"18.07.2019","27,51","27,76","27,81","27,43","35,49M","-0,61%"
"17.07.2019","27,68","27,99","28,00","27,64","28,77M","-0,54%"
"16.07.2019","27,83","28,28","28,33","27,60","54,59M","-1,24%"
"15.07.2019","28,18","28,59","28,65","28,18","36,32M","-1,23%"
"12.07.2019","28,53","28,54","28,74","28,41","40,58M","0,46%"
"11.07.2019","28,40","28,20","28,51","28,16","48,10M","1,18%"
"10.07.2019","28,07","28,00","28,27","27,97","50,55M","1,52%"
"08.07.2019","27,65","27,50","27,72","27,44","24,98M","0,91%"
"05.07.2019","27,40","27,27","27,59","27,13","27,31M","0,04%"
"04.07.2019","27,39","27,38","27,58","27,32","28,37M","0,96%"
"03.07.2019","27,13","27,04","27,20","26,89","33,82M","1,16%"
"02.07.2019","26,82","27,26","27,26","26,65","57,57M","-1,61%"
"01.07.2019","27,26","27,84","28,03","27,21","46,45M","-0,55%"
"28.06.2019","27,41","27,45","27,61","27,11","39,85M","0,66%"
"27.06.2019","27,23","27,44","27,55","27,01","54,92M","-1,59%"
"26.06.2019","27,67","27,55","27,93","27,52","48,61M","0,58%"
"25.06.2019","27,51","28,14","28,16","27,38","56,18M","-2,62%"
"24.06.2019","28,25","28,32","28,38","28,12","27,27M","-0,11%"
"21.06.2019","28,28","27,95","28,39","27,95","58,28M","2,76%"
"19.06.2019","27,52","27,35","27,59","27,22","32,77M","0,26%"
"18.06.2019","27,45","27,30","27,52","27,25","31,20M","1,25%"
"17.06.2019","27,11","27,08","27,43","26,96","48,74M","0,18%"
"14.06.2019","27,06","27,20","27,25","26,90","42,62M","-0,44%"
"13.06.2019","27,18","27,15","27,39","27,08","48,61M","1,23%"
"12.06.2019","26,85","27,02","27,12","26,64","43,27M","-1,14%"
"11.06.2019","27,16","26,89","27,29","26,71","52,11M","1,91%"
"10.06.2019","26,65","26,60","26,89","26,52","39,53M","-0,41%"
"07.06.2019","26,76","26,69","26,83","26,37","51,96M","1,83%"
"06.06.2019","26,28","26,17","26,63","25,72","87,11M","1,62%"
"05.06.2019","25,86","26,18","26,29","25,56","65,06M","-1,30%"
"04.06.2019","26,20","26,29","26,37","26,03","37,05M","0,81%"
"03.06.2019","25,99","25,88","26,32","25,85","53,22M","1,72%"
"31.05.2019","25,55","25,79","26,27","25,42","62,91M","-2,29%"
"30.05.2019","26,15","26,51","26,86","25,99","71,45M","-1,32%"
"29.05.2019","26,50","26,49","26,71","26,26","42,96M","-1,12%"
"28.05.2019","26,80","26,13","26,80","26,13","60,37M","2,13%"
"27.05.2019","26,24","26,30","26,54","26,17","33,74M","0,57%"
"24.05.2019","26,09","26,15","26,36","25,93","35,76M","0,97%"
"23.05.2019","25,84","25,90","25,92","25,52","49,29M","-1,71%"
"22.05.2019","26,29","26,34","26,47","25,96","48,27M","-0,38%"
"21.05.2019","26,39","25,60","26,39","25,32","57,63M","3,82%"
"20.05.2019","25,42","24,59","25,42","24,55","54,17M","3,38%"
"17.05.2019","24,59","24,96","25,32","24,38","66,82M","-2,30%"
"16.05.2019","25,17","25,67","25,94","25,14","46,19M","-2,37%"
"15.05.2019","25,78","25,64","25,79","25,56","36,69M","-0,46%"
"14.05.2019","25,90","26,07","26,13","25,75","34,86M","0,39%"
"13.05.2019","25,80","26,11","26,37","25,72","42,75M","-2,93%"
"10.05.2019","26,58","26,77","26,82","26,32","33,19M","-0,93%"
"09.05.2019","26,83","27,10","27,12","26,64","46,50M","-1,97%"
"08.05.2019","27,37","26,31","27,47","26,29","71,54M","3,87%"
"07.05.2019","26,35","26,65","26,66","26,12","52,19M","-1,57%"
"06.05.2019","26,77","26,39","26,77","26,36","31,54M","-0,30%"
"03.05.2019","26,85","26,90","27,07","26,85","32,88M","0,45%"
"02.05.2019","26,73","26,80","26,82","26,52","37,62M","-1,40%"
"30.04.2019","27,11","27,52","27,66","26,98","39,27M","-0,95%"
"29.04.2019","27,37","27,55","27,62","27,34","27,54M","0,44%"
"26.04.2019","27,25","27,68","27,77","27,06","52,43M","-1,91%"
"25.04.2019","27,78","27,43","28,05","27,41","54,75M","0,73%"
"24.04.2019","27,58","27,70","27,87","27,19","57,55M","-0,29%"
"23.04.2019","27,66","27,70","27,98","27,66","51,79M","0,88%"
"22.04.2019","27,42","27,67","27,87","27,30","44,82M","-0,58%"
"18.04.2019","27,58","27,34","27,87","27,23","99,89M","3,18%"
"17.04.2019","26,73","27,10","27,32","26,20","103,57M","0,11%"
"16.04.2019","26,70","25,93","27,04","25,61","94,49M","3,05%"
"15.04.2019","25,91","26,33","26,56","25,53","116,78M","0,31%"
"12.04.2019","25,83","26,47","26,97","25,57","227,31M","-7,75%"
"11.04.2019","28,00","28,70","28,70","27,87","55,90M","-2,71%"
"10.04.2019","28,78","29,55","29,57","28,78","61,55M","-1,30%"
"09.04.2019","29,16","29,03","29,24","28,67","43,71M","-0,31%"
"08.04.2019","29,25","29,06","29,39","28,98","54,84M","1,63%"
"05.04.2019","28,78","28,54","28,89","28,21","54,47M","1,09%"
"04.04.2019","28,47","27,77","28,47","27,37","52,01M","3,38%"
"03.04.2019","27,54","28,53","28,56","27,54","54,76M","-2,65%"
"02.04.2019","28,29","28,14","28,30","27,86","37,78M","1,04%"
"01.04.2019","28,00","28,40","28,42","27,87","42,01M","-0,21%"
"29.03.2019","28,06","28,45","28,53","27,74","51,43M","0,00%"
"28.03.2019","28,06","27,25","28,06","26,95","69,19M","2,63%"
"27.03.2019","27,34","28,21","28,21","27,34","64,84M","-4,51%"
"26.03.2019","28,63","27,74","28,68","27,72","91,21M","4,72%"
"25.03.2019","27,34","26,83","27,59","26,82","104,44M","1,26%"
"22.03.2019","27,00","27,94","28,14","27,00","104,03M","-5,46%"
"21.03.2019","28,56","28,84","28,97","27,92","79,97M","-1,42%"
"20.03.2019","28,97","29,20","29,60","28,90","68,21M","-0,79%"
"19.03.2019","29,20","28,85","29,50","28,60","69,09M","1,60%"
"18.03.2019","28,74","28,35","28,79","28,26","91,63M","1,73%"
"15.03.2019","28,25","28,16","28,39","28,11","60,86M","0,21%"
"14.03.2019","28,19","28,15","28,20","27,91","42,50M","0,32%"
"13.03.2019","28,10","27,59","28,13","27,52","60,82M","2,18%"
"12.03.2019","27,50","27,79","27,96","27,25","63,82M","-0,90%"
"11.03.2019","27,75","27,02","27,78","27,01","66,24M","4,05%"
"08.03.2019","26,67","26,49","26,75","26,22","49,56M","-0,37%"
"07.03.2019","26,77","26,80","26,91","26,49","32,84M","0,04%"
"06.03.2019","26,76","26,55","26,76","26,47","18,42M","0,22%"
"01.03.2019","26,70","27,14","27,25","26,63","41,98M","-1,33%"
"28.02.2019","27,06","26,76","27,75","26,60","93,07M","-0,07%"
"27.02.2019","27,08","26,84","27,25","26,63","49,13M","1,88%"
"26.02.2019","26,58","26,76","27,14","26,57","46,50M","-0,45%"
"25.02.2019","26,70","27,00","27,03","26,63","54,19M","-1,58%"
"22.02.2019","27,13","27,55","27,70","27,13","36,60M","-0,99%"
"21.02.2019","27,40","27,18","27,49","26,82","46,56M","1,33%"
"20.02.2019","27,04","27,50","27,66","26,87","55,11M","-1,24%"
"19.02.2019","27,38","26,86","27,40","26,84","58,04M","2,32%"
"18.02.2019","26,76","26,59","26,79","26,41","43,38M","-0,30%"
"15.02.2019","26,84","26,86","27,02","26,71","63,84M","-0,41%"
"14.02.2019","26,95","26,17","26,95","26,00","81,13M","3,45%"
"13.02.2019","26,05","26,02","26,21","25,85","69,04M","1,28%"
"12.02.2019","25,72","25,32","25,85","25,23","72,47M","3,54%"
"11.02.2019","24,84","25,17","25,17","24,54","39,62M","-1,15%"
"08.02.2019","25,13","24,80","25,28","24,73","40,15M","0,16%"
"07.02.2019","25,09","25,60","25,85","24,66","55,61M","-1,57%"
"06.02.2019","25,49","25,80","25,84","25,32","64,53M","-2,15%"
"05.02.2019","26,05","25,91","26,10","25,81","40,99M","0,08%"
"04.02.2019","26,03","25,84","26,12","25,60","53,87M","0,89%"
"01.02.2019","25,80","25,50","25,85","25,37","47,96M","0,86%"
"31.01.2019","25,58","25,87","25,96","25,56","63,25M","-0,16%"
"30.01.2019","25,62","25,81","25,93","25,47","62,61M","0,99%"
"29.01.2019","25,37","25,25","25,56","25,11","59,42M","2,42%"
"28.01.2019","24,77","25,29","25,53","24,74","65,08M","-3,01%"
"24.01.2019","25,54","25,40","25,54","25,32","40,11M","0,43%"
"23.01.2019","25,43","25,33","25,54","25,16","52,93M","1,19%"
"22.01.2019","25,13","25,26","25,50","25,02","61,31M","-1,57%"
"21.01.2019","25,53","25,31","25,53","25,10","45,34M","0,51%"
"18.01.2019","25,40","25,44","25,56","25,28","67,02M","0,95%"
"17.01.2019","25,16","24,75","25,30","24,68","50,36M","1,37%"
"16.01.2019","24,82","24,80","24,90","24,66","40,43M","-0,04%"
"15.01.2019","24,83","24,83","25,12","24,70","53,73M","-0,08%"
"14.01.2019","24,85","24,82","25,09","24,66","46,58M","-0,56%"
"11.01.2019","24,99","25,15","25,19","24,84","53,98M","-1,07%"
"10.01.2019","25,26","25,26","25,41","25,07","54,76M","-0,86%"
"09.01.2019","25,48","25,30","25,50","25,15","70,18M","2,08%"
"08.01.2019","24,96","25,40","25,42","24,77","68,76M","-0,60%"
"07.01.2019","25,11","24,85","25,92","24,70","121,71M","1,58%"
"04.01.2019","24,72","24,85","24,94","24,47","72,12M","0,28%"
"03.01.2019","24,65","24,33","24,82","23,80","95,21M","2,45%"
"02.01.2019","24,06","22,55","24,20","22,28","104,53M","6,08%"
"28.12.2018","22,68","22,11","22,83","22,08","61,63M","4,66%"
"27.12.2018","21,67","21,52","21,98","21,28","74,08M","-0,05%"
"26.12.2018","21,68","20,59","21,68","20,42","77,10M","3,98%"
"21.12.2018","20,85","20,70","21,27","20,56","90,38M","0,29%"
"20.12.2018","20,79","21,59","21,59","20,66","141,77M","-3,44%"
"19.12.2018","21,53","21,77","22,30","21,34","171,16M","1,13%"
"18.12.2018","21,29","22,04","22,06","21,29","74,74M","-3,80%"
"17.12.2018","22,13","22,47","22,51","22,06","53,83M","-0,76%"
"14.12.2018","22,30","22,33","22,57","22,21","45,23M","-1,33%"
"13.12.2018","22,60","22,53","22,69","22,21","61,95M","0,27%"
"12.12.2018","22,54","22,97","23,12","22,45","63,30M","0,04%"
"11.12.2018","22,53","23,14","23,29","22,32","64,02M","-0,66%"
"10.12.2018","22,68","23,97","24,09","22,68","73,87M","-5,38%"
"07.12.2018","23,97","23,72","24,64","23,66","87,99M","0,76%"
"06.12.2018","23,79","24,18","24,30","23,52","99,04M","-3,80%"
"05.12.2018","24,73","24,64","24,88","24,14","54,18M","0,86%"
"04.12.2018","24,52","25,40","25,47","24,52","66,87M","-2,31%"
"03.12.2018","25,10","25,45","25,67","24,96","90,53M","1,91%"
"30.11.2018","24,63","24,29","24,73","24,26","90,87M","1,15%"
"29.11.2018","24,35","24,15","24,67","24,07","65,58M","-0,86%"
"28.11.2018","24,56","24,67","25,03","24,24","92,81M","-0,57%"
"27.11.2018","24,70","23,58","24,87","23,48","90,76M","5,29%"
"26.11.2018","23,46","23,99","24,18","23,27","62,11M","-0,51%"
"23.11.2018","23,58","23,85","23,99","23,23","77,96M","-3,08%"
"22.11.2018","24,33","24,46","24,54","24,26","31,25M","0,29%"
"21.11.2018","24,26","24,19","24,55","24,10","77,23M","-3,19%"
"19.11.2018","25,06","24,63","25,34","24,51","79,95M","0,80%"
"16.11.2018","24,86","24,47","25,09","24,26","100,63M","2,77%"
"14.11.2018","24,19","23,36","24,27","23,04","104,42M","3,55%"
"13.11.2018","23,36","24,40","24,40","23,08","112,78M","-4,30%"
"12.11.2018","24,41","24,61","24,98","24,37","63,16M","-0,53%"
"09.11.2018","24,54","24,28","24,79","23,78","94,21M","0,45%"
"08.11.2018","24,43","25,83","26,05","24,43","119,10M","-3,59%"
"07.11.2018","25,34","25,90","26,65","25,31","95,82M","-3,28%"
"06.11.2018","26,20","26,31","27,27","26,01","95,34M","-3,46%"
"05.11.2018","27,14","26,50","27,14","26,41","60,39M","3,08%"
"01.11.2018","26,33","26,75","27,00","26,13","97,30M","-1,09%"
"31.10.2018","26,62","27,23","27,30","26,31","83,77M","-1,33%"
"30.10.2018","26,98","25,73","26,98","25,46","106,24M","5,97%"
"29.10.2018","25,46","27,69","27,70","25,03","160,28M","-4,29%"
"26.10.2018","26,60","25,68","26,60","25,17","108,58M","4,89%"
"25.10.2018","25,36","25,23","25,67","24,76","79,21M","2,46%"
"24.10.2018","24,75","25,45","26,01","24,75","92,82M","-1,98%"
"23.10.2018","25,25","25,20","25,52","24,87","77,14M","-1,25%"
"22.10.2018","25,57","25,32","25,63","25,32","63,34M","2,36%"
"19.10.2018","24,98","25,20","25,34","24,79","61,68M","0,85%"
"18.10.2018","24,77","25,34","25,38","24,77","55,97M","-2,82%"
"17.10.2018","25,49","25,48","25,66","25,31","80,82M","-1,05%"
"16.10.2018","25,76","25,25","25,76","25,14","73,61M","3,75%"
"15.10.2018","24,83","24,96","25,17","24,62","92,09M","1,89%"
"11.10.2018","24,37","25,59","25,78","24,15","118,80M","-2,91%"
"10.10.2018","25,10","25,35","25,43","24,72","82,17M","-2,90%"
"09.10.2018","25,85","25,52","26,02","25,33","89,56M","0,86%"
"08.10.2018","25,63","25,96","25,99","24,81","187,49M","11,00%"
"05.10.2018","23,09","23,60","23,70","22,80","104,28M","-0,26%"
"04.10.2018","23,15","22,60","23,63","22,37","98,89M","0,96%"
"03.10.2018","22,93","24,33","24,50","22,61","151,33M","4,27%"
"02.10.2018","21,99","21,20","21,99","21,10","126,85M","8,65%"
"01.10.2018","20,24","20,48","20,58","20,04","56,19M","-0,39%"
